class,accuraccy,precision,recall,f1,support,model
36,90.69767442,1,0.976744186,0.988235294,43,balanced_tk_ResNet50_152.csv
37,97.95918367,0.98,1,0.98989899,49,balanced_tk_ResNet50_152.csv
38,97.61904762,0.974358974,0.904761905,0.938271605,378,balanced_tk_ResNet50_152.csv
39,96.38554217,1,0.987951807,0.993939394,83,balanced_tk_ResNet50_152.csv
40,96.45390071,0.963898917,0.946808511,0.955277281,282,balanced_tk_ResNet50_152.csv
41,98.12030075,0.97752809,0.981203008,0.979362101,266,balanced_tk_ResNet50_152.csv
42,98.03921569,0.993421053,0.986928105,0.990163934,306,balanced_tk_ResNet50_152.csv
0,97.22222222,0.972972973,1,0.98630137,36,balanced_WT_cnn.csv
1,91.40969163,0.952586207,0.973568282,0.962962963,454,balanced_WT_cnn.csv
2,99.3166287,0.995464853,1,0.997727273,439,balanced_WT_cnn.csv
3,86.41509434,0.992424242,0.988679245,0.990548204,265,balanced_WT_cnn.csv
4,99.04988124,0.997613365,0.992874109,0.995238095,421,balanced_WT_cnn.csv
5,99.76851852,1,0.99537037,0.997679814,432,balanced_WT_cnn.csv
6,100,0.993865031,1,0.996923077,162,balanced_WT_cnn.csv
7,95.72649573,0.950819672,0.991452991,0.970711297,117,balanced_WT_cnn.csv
8,97.5308642,1,1,1,81,balanced_WT_cnn.csv
9,98.23788546,1,1,1,227,balanced_WT_cnn.csv
10,94.71544715,0.995901639,0.987804878,0.991836735,246,balanced_WT_cnn.csv
11,97.61904762,0.933333333,1,0.965517241,42,balanced_WT_cnn.csv
12,94.49339207,0.970454545,0.940528634,0.955257271,454,balanced_WT_cnn.csv
13,96.49122807,1,0.98245614,0.991150442,57,balanced_WT_cnn.csv
14,82.35294118,0.680412371,0.970588235,0.8,68,balanced_WT_cnn.csv
15,100,0.987951807,1,0.993939394,82,balanced_WT_cnn.csv
16,96.80851064,0.978723404,0.978723404,0.978723404,94,balanced_WT_cnn.csv
17,96.22641509,0.981132075,0.981132075,0.981132075,53,balanced_WT_cnn.csv
18,99.01639344,1,0.97704918,0.988391376,305,balanced_WT_cnn.csv
19,99.29078014,1,0.978723404,0.989247312,141,balanced_WT_cnn.csv
20,100,0.94,1,0.969072165,47,balanced_WT_cnn.csv
21,96,0.961165049,0.99,0.975369458,100,balanced_WT_cnn.csv
22,92.15686275,0.961538462,0.980392157,0.970873786,51,balanced_WT_cnn.csv
23,93.44827586,0.966216216,0.986206897,0.976109215,290,balanced_WT_cnn.csv
24,97.46835443,0.962025316,0.962025316,0.962025316,79,balanced_WT_cnn.csv
25,97.33333333,1,0.82,0.901098901,150,balanced_WT_cnn.csv
26,97.5,0.952380952,1,0.975609756,40,balanced_WT_cnn.csv
27,99.27007299,1,0.99270073,0.996336996,137,balanced_WT_cnn.csv
28,100,1,1,1,83,balanced_WT_cnn.csv
29,100,0.995515695,1,0.997752809,222,balanced_WT_cnn.csv
30,100,0.984126984,1,0.992,62,balanced_WT_cnn.csv
31,100,1,1,1,47,balanced_WT_cnn.csv
32,99.74937343,1,1,1,399,balanced_WT_cnn.csv
33,100,1,1,1,68,balanced_WT_cnn.csv
34,96.96202532,0.965432099,0.989873418,0.9775,395,balanced_WT_cnn.csv
35,100,0.962962963,0.987341772,0.975,79,balanced_WT_cnn.csv
36,97.95918367,1,1,1,49,balanced_WT_cnn.csv
37,100,1,1,1,44,balanced_WT_cnn.csv
38,83.60215054,0.945945946,0.940860215,0.943396226,372,balanced_WT_cnn.csv
39,100,1,1,1,88,balanced_WT_cnn.csv
40,93.47826087,0.962616822,0.959627329,0.961119751,322,balanced_WT_cnn.csv
41,94.81481481,0.984189723,0.922222222,0.952198853,270,balanced_WT_cnn.csv
42,98.57142857,0.996415771,0.992857143,0.994633274,280,balanced_WT_cnn.csv
0,100,1,1,1,36,balanced_wt_ResNet_50.csv
1,98.01762115,0.993333333,0.984581498,0.988938053,454,balanced_wt_ResNet_50.csv
2,100,0.99321267,1,0.996594779,439,balanced_wt_ResNet_50.csv
3,98.49056604,0.988764045,0.996226415,0.992481203,265,balanced_wt_ResNet_50.csv
4,100,1,1,1,421,balanced_wt_ResNet_50.csv
5,100,1,1,1,432,balanced_wt_ResNet_50.csv
6,100,1,1,1,162,balanced_wt_ResNet_50.csv
7,99.14529915,0.991525424,1,0.995744681,117,balanced_wt_ResNet_50.csv
8,100,1,1,1,81,balanced_wt_ResNet_50.csv
9,100,1,1,1,227,balanced_wt_ResNet_50.csv
10,99.59349593,0.991902834,0.995934959,0.993914807,246,balanced_wt_ResNet_50.csv
11,100,0.954545455,1,0.976744186,42,balanced_wt_ResNet_50.csv
12,99.55947137,0.991169978,0.988986784,0.990077178,454,balanced_wt_ResNet_50.csv
13,96.49122807,0.965517241,0.98245614,0.973913043,57,balanced_wt_ResNet_50.csv
14,97.05882353,1,1,1,68,balanced_wt_ResNet_50.csv
15,100,1,1,1,82,balanced_wt_ResNet_50.csv
16,98.93617021,0.989361702,0.989361702,0.989361702,94,balanced_wt_ResNet_50.csv
17,100,1,1,1,53,balanced_wt_ResNet_50.csv
18,99.67213115,1,0.996721311,0.998357964,305,balanced_wt_ResNet_50.csv
19,99.29078014,1,0.985815603,0.992857143,141,balanced_wt_ResNet_50.csv
20,97.87234043,1,0.978723404,0.989247312,47,balanced_wt_ResNet_50.csv
21,100,1,1,1,100,balanced_wt_ResNet_50.csv
